test.id,http.path,test.level,test.objective,test.source_nhan_csv,bankCif_csv,accountNoFrom_csv,amount_csv,whoCharge_csv,chargeAmount_csv,isAccount_csv,bankCodeId_csv,bankCode_csv,accountNoTo_csv,aliasName_csv,is247_csv,isNow_csv,isSaveToTemplate_csv,description_csv,transactionCategoryId_csv,otp_csv,bankId_csv,beneficiaryName_csv,idCard_csv,response.code_csv,response.message_csv,response.http_code_csv,active_or_not,groupcase
20,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Sức khỏe,tk_khacCIF,getapi,5000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,5,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
21,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Trả góp,tk_khacCIF,getapi,6000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,6,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
22,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Đầu tư,tk_khacCIF,getapi,7000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,7,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
23,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Kinh doanh,tk_khacCIF,getapi,8000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,8,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
24,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Cho con,tk_khacCIF,getapi,9000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,9,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
25,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Quần áo,tk_khacCIF,getapi,10000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,10,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
26,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Du lịch,tk_khacCIF,getapi,11000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,11,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
27,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Thể thao,tk_khacCIF,getapi,12000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,12,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
28,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Hiếu hỷ,tk_khacCIF,getapi,13000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,13,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
29,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Quà tặng quyên góp,tk_khacCIF,getapi,14000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,14,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
30,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Khoản chi khác,tk_khacCIF,getapi,15000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,15,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
31,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Chuyển tiền,soThe,getapi,1000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,1,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
32,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Siêu thị,soThe,getapi,2000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,2,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
33,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Hóa đơn sinh hoạt,soThe,getapi,3000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,3,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
34,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Giáo dục,soThe,getapi,4000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
35,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Sức khỏe,soThe,getapi,5000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,5,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
36,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Trả góp,soThe,getapi,6000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,6,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
37,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Đầu tư,soThe,getapi,7000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,7,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
38,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Kinh doanh,soThe,getapi,8000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,8,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
39,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Cho con,soThe,getapi,9000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,9,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
40,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Quần áo,soThe,getapi,10000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,10,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
41,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Du lịch,soThe,getapi,11000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,11,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
42,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Thể thao,soThe,getapi,12000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,12,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
43,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Hiếu hỷ,soThe,getapi,13000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,13,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
44,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Quà tặng quyên góp,soThe,getapi,14000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,14,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
45,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua thẻ - Cùng CIF - Khoản chi khác,soThe,getapi,15000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,15,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
46,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Chuyển tiền,tk_lienBank,getapi,50000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,1,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
47,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Siêu thị,tk_lienBank,getapi,51000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,2,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
48,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Hóa đơn sinh hoạt,tk_lienBank,getapi,52000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,3,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
49,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Giáo dục,tk_lienBank,getapi,53000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
50,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Sức khỏe,tk_lienBank,getapi,54000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,5,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
51,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Trả góp,tk_lienBank,getapi,55000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,6,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
52,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Đầu tư,tk_lienBank,getapi,56000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,7,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
53,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Kinh doanh,tk_lienBank,getapi,57000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,8,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
54,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Cho con,tk_lienBank,getapi,58000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,9,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
55,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Quần áo,tk_lienBank,getapi,59000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,10,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
56,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Du lịch,tk_lienBank,getapi,60000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,11,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
57,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Thể thao,tk_lienBank,getapi,61000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,12,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
58,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Hiếu hỷ,tk_lienBank,getapi,62000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,13,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
59,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Quà tặng quyên góp,tk_lienBank,getapi,63000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,14,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
60,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Tài Khoản  - Khoản chi khác,tk_lienBank,getapi,64000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,15,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
61,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Chuyển tiền,soThe_lienBank,getapi,50000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,1,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
62,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Siêu thị,soThe_lienBank,getapi,51000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,2,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
63,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Hóa đơn sinh hoạt,soThe_lienBank,getapi,52000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,3,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
64,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Giáo dục,soThe_lienBank,getapi,53000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
65,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Sức khỏe,soThe_lienBank,getapi,54000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,5,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
66,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Trả góp,soThe_lienBank,getapi,55000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,6,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
67,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Đầu tư,soThe_lienBank,getapi,56000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,7,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
68,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Kinh doanh,soThe_lienBank,getapi,57000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,8,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
69,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Cho con,soThe_lienBank,getapi,58000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,9,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
70,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Quần áo,soThe_lienBank,getapi,59000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,10,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
71,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Du lịch,soThe_lienBank,getapi,60000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,11,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
72,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Thể thao,soThe_lienBank,getapi,61000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,12,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
73,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Hiếu hỷ,soThe_lienBank,getapi,62000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,13,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
74,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Quà tặng quyên góp,soThe_lienBank,getapi,63000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,14,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
75,transaction/v1/transfer,regesstion,Chuyển khoản - Liên ngân hàng - Qua Thẻ  - Khoản chi khác,soThe_lienBank,getapi,64000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,15,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
76,transaction/v1/transfer,integration,Chuyển khoản -  Bỏ trống -  bankCif,,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,validate_transfer
77,transaction/v1/transfer,integration,Chuyển khoản -  Bỏ trống -  accountNoFrom,,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Tài khoản chuyển không được trống.,200,active,validate_transfer
78,transaction/v1/transfer,integration,Chuyển khoản -  Bỏ trống -  amount,,getapi,getapi,0,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4005043,Số tiền chuyển lớn hơn 1.000 VND,200,active,validate_transfer
79,transaction/v1/transfer,integration,Chuyển khoản -  Bỏ trống -  bankCodeId,,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng nhận không được trống.,200,active,validate_transfer
