test.id,http.path,test.level,test.objective,test.source_nhan_csv,bankCif_csv,accountNoFrom_csv,amount_csv,whoCharge_csv,chargeAmount_csv,isAccount_csv,bankCodeId_csv,bankCode_csv,accountNoTo_csv,aliasName_csv,is247_csv,isNow_csv,isSaveToTemplate_csv,description_csv,transactionCategoryId_csv,otp_csv,scheduleType_csv,fromDate_csv,toDate_csv,days_csv,bankId_csv,beneficiaryName_csv,idCard_csv,response.code_csv,response.message_csv,response.http_code_csv,active_or_not,groupcase
11,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Thẻ - Hàng tuần,soThe,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
12,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Thẻ - Hàng tháng,soThe,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
13,transaction/v1/transfer,syntax & logic,Lên lịch - Liên ngân hàng - Qua Tài Khoản-  Không lặp,tk_lienBank,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,day,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
14,transaction/v1/transfer,syntax & logic,Lên lịch - Liên ngân hàng - Qua Tài Khoản-  Hàng ngày,tk_lienBank,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
15,transaction/v1/transfer,syntax & logic,Lên lịch - Liên ngân hàng - Qua Tài Khoản-  Hàng tuần,tk_lienBank,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
16,transaction/v1/transfer,syntax & logic,Lên lịch - Liên ngân hàng - Qua Tài Khoản-  Hàng tháng,tk_lienBank,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
17,transaction/v1/transfer,syntax & logic,Lên lịch - Liên ngân hàng - Qua Thẻ -  Không lặp,soThe_lienBank,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,day,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
18,transaction/v1/transfer,syntax & logic,Lên lịch - Liên ngân hàng - Qua Thẻ -  Hàng ngày,soThe_lienBank,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
19,transaction/v1/transfer,syntax & logic,Lên lịch - Liên ngân hàng - Qua Thẻ -  Hàng tuần,soThe_lienBank,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
20,transaction/v1/transfer,syntax & logic,Lên lịch - Liên ngân hàng - Qua Thẻ -  Hàng tháng,soThe_lienBank,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_LienBank
13,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  bankCif,,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,validate_transfer
14,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  accountNoFrom,,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Tài khoản chuyển không được trống.,200,active,validate_transfer
15,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  amount,,getapi,getapi,0,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
16,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  bankCodeId,,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng nhận không được trống.,200,active,validate_transfer
17,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  accountNoTo,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Tài khoản nhận không được trống.,200,active,validate_transfer
18,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  description,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Chưa nhập nội dung chuyển tiền,200,active,validate_transfer
19,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  otp,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
20,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  scheduleType,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,4000000,Chưa nhập lịch chuyển tiền ,200,active,validate_transfer
21,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  fromDate,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền không được bỏ trống,200,active,validate_transfer
22,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Bỏ trống -  Tất cả các trường,,,,0,1,0,1,,,,,0,0,0,,0,,,,,,,,,5000000,Dịch vụ không thực hiện được lúc này. Quý khách vui lòng thử lại sau ít phút.,200,active,validate_transfer
23,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  bankCif,,41323,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4030000,Bạn không có quyền thao tác trên tài khoản của người khác,200,active,validate_transfer
24,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  accountNoFrom,,getapi,34535,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
25,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  amount = 0,,getapi,getapi,0,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
26,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  whoCharge,,getapi,getapi,getapi,67577,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
27,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  isAccount,,getapi,getapi,getapi,getapi,getapi,4546,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
28,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  bankCodeId,,getapi,getapi,getapi,getapi,getapi,getapi,54646456,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
29,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  bankCode,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,45646456,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
30,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  accountNoTo,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4.56E+13,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
31,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  is247,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,45747,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
32,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  isNow,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4574747,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
33,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  isSaveToTemplate,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,457,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
34,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  transactionCategoryId,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4574747,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
35,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  otp,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,45754754,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
36,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  scheduleType,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4574747,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
37,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  fromDate,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4574747,getapi,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu định dạng không đúng  định dạng đúng là dd\/MM\/yyyy,200,active,validate_transfer
38,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  toDate,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4574747,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu định dạng không đúng  định dạng đúng là dd\/MM\/yyyy,200,active,validate_transfer
39,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  days,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,45747457,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
40,transaction/v1/transfer,syntax & logic,Lên lịch - syntax - Sai -  All,,3453534535,,0,56757,0,5675757,56757,56757,56757,56757,56757,567567556,576575,56757,57575,56757,56765755,5675675757,56757567,5675,567575,567575,5757,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
41,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Không lặp - Ngày bắt đầu < ngày hiện tại,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,day,01/01/2021,01/01/2021,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền phải là ngày tương lai,200,active,validate_logic_day
42,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Không lặp - Ngày bắt đầu = ngày hiện tại,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,day,today,today,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền phải là ngày tương lai,200,active,validate_logic_day
43,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng ngày - Ngày bắt đầu < ngày hiện tại,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,01/01/2021,01/01/2021,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền phải là ngày tương lai,200,active,validate_logic_daily
44,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng ngày - Ngày bắt đầu = Ngày kết thúc = ngày hiện tại,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,today,today,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền phải là ngày tương lai,200,active,validate_logic_daily
45,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng ngày - Ngày bắt đầu & Ngày kết thúc  > Ngày hiện tại + 1 năm,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,13/01/2025,13/01/2025,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu không được sau ngày  kết thúc,200,active,validate_logic_daily
46,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng ngày - Ngày bắt đầu > Ngày kết thúc,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,endWeek,tomorrow,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu không được sau ngày  kết thúc,200,active,validate_logic_daily
47,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng tuần - Ngày bắt đầu < ngày hiện tại,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,01/01/2021,01/01/2021,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền phải là ngày tương lai,200,active,validate_logic_weekly
48,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng tuần - Ngày bắt đầu = Ngày kết thúc = ngày hiện tại,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,today,today,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền phải là ngày tương lai,200,active,validate_logic_weekly
49,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng tuần - Ngày bắt đầu & Ngày kết thúc  > Ngày hiện tại + 1 năm,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,13/01/2025,13/01/2025,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu không được sau ngày  kết thúc,200,active,validate_logic_weekly
50,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng tuần - Ngày bắt đầu > Ngày kết thúc,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,endWeek,tomorrow,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu không được sau ngày  kết thúc,200,active,validate_logic_weekly
51,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng tháng - Ngày bắt đầu < ngày hiện tại,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,01/01/2021,01/01/2021,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền phải là ngày tương lai,200,active,validate_logic_monthly
52,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng tháng - Ngày bắt đầu = Ngày kết thúc = ngày hiện tại,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,today,today,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu lịch chuyển tiền phải là ngày tương lai,200,active,validate_logic_monthly
53,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng tháng - Ngày bắt đầu & Ngày kết thúc  > Ngày hiện tại + 1 năm,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,13/01/2025,13/01/2025,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu không được sau ngày  kết thúc,200,active,validate_logic_monthly
54,transaction/v1/transfer,syntax & logic,Lên lịch - logic - Hàng tháng - Ngày bắt đầu > Ngày kết thúc,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,endWeek,tomorrow,getapi,getapi,getapi,getapi,4000000,Ngày bắt đầu không được sau ngày  kết thúc,200,active,validate_logic_monthly
